port_name,type,number,geometry,H3_int_index_13
Mongstad,berth,1,"POLYGON ((5.03333333 60.81666667, 5.03166667 60.81833333, 5.03306667 60.81861667, 5.03335833 60.81861167, 5.033455 60.81859333, 5.033935 60.81841167, 5.03387667 60.81823167, 5.03333333 60.81666667))",635177580176705983
Mongstad,berth,1,"POLYGON ((5.03333333 60.81666667, 5.03166667 60.81833333, 5.03306667 60.81861667, 5.03335833 60.81861167, 5.033455 60.81859333, 5.033935 60.81841167, 5.03387667 60.81823167, 5.03333333 60.81666667))",635177580166028223
Mongstad,berth,1,"POLYGON ((5.03333333 60.81666667, 5.03166667 60.81833333, 5.03306667 60.81861667, 5.03335833 60.81861167, 5.033455 60.81859333, 5.033935 60.81841167, 5.03387667 60.81823167, 5.03333333 60.81666667))",635177580176708863
Mongstad,berth,1,"POLYGON ((5.03333333 60.81666667, 5.03166667 60.81833333, 5.03306667 60.81861667, 5.03335833 60.81861167, 5.033455 60.81859333, 5.033935 60.81841167, 5.03387667 60.81823167, 5.03333333 60.81666667))",635177580176714687
Mongstad,berth,1,"POLYGON ((5.03333333 60.81666667, 5.03166667 60.81833333, 5.03306667 60.81861667, 5.03335833 60.81861167, 5.033455 60.81859333, 5.033935 60.81841167, 5.03387667 60.81823167, 5.03333333 60.81666667))",635177580176718463
Mongstad,berth,1,"POLYGON ((5.03333333 60.81666667, 5.03166667 60.81833333, 5.03306667 60.81861667, 5.03335833 60.81861167, 5.033455 60.81859333, 5.033935 60.81841167, 5.03387667 60.81823167, 5.03333333 60.81666667))",635177580166046463
Mongstad,berth,1,"POLYGON ((5.03333333 60.81666667, 5.03166667 60.81833333, 5.03306667 60.81861667, 5.03335833 60.81861167, 5.033455 60.81859333, 5.033935 60.81841167, 5.03387667 60.81823167, 5.03333333 60.81666667))",635177580176714879
Mongstad,berth,1,"POLYGON ((5.03333333 60.81666667, 5.03166667 60.81833333, 5.03306667 60.81861667, 5.03335833 60.81861167, 5.033455 60.81859333, 5.033935 60.81841167, 5.03387667 60.81823167, 5.03333333 60.81666667))",635177580176718655
Mongstad,berth,1,"POLYGON ((5.03333333 60.81666667, 5.03166667 60.81833333, 5.03306667 60.81861667, 5.03335833 60.81861167, 5.033455 60.81859333, 5.033935 60.81841167, 5.03387667 60.81823167, 5.03333333 60.81666667))",635177580176718591
Mongstad,berth,1,"POLYGON ((5.03333333 60.81666667, 5.03166667 60.81833333, 5.03306667 60.81861667, 5.03335833 60.81861167, 5.033455 60.81859333, 5.033935 60.81841167, 5.03387667 60.81823167, 5.03333333 60.81666667))",635177580166028607
Mongstad,berth,1,"POLYGON ((5.03333333 60.81666667, 5.03166667 60.81833333, 5.03306667 60.81861667, 5.03335833 60.81861167, 5.033455 60.81859333, 5.033935 60.81841167, 5.03387667 60.81823167, 5.03333333 60.81666667))",635177580166026687
Mongstad,berth,1,"POLYGON ((5.03333333 60.81666667, 5.03166667 60.81833333, 5.03306667 60.81861667, 5.03335833 60.81861167, 5.033455 60.81859333, 5.033935 60.81841167, 5.03387667 60.81823167, 5.03333333 60.81666667))",635177580166022527
Mongstad,berth,1,"POLYGON ((5.03333333 60.81666667, 5.03166667 60.81833333, 5.03306667 60.81861667, 5.03335833 60.81861167, 5.033455 60.81859333, 5.033935 60.81841167, 5.03387667 60.81823167, 5.03333333 60.81666667))",635177580176705471
Mongstad,berth,1,"POLYGON ((5.03333333 60.81666667, 5.03166667 60.81833333, 5.03306667 60.81861667, 5.03335833 60.81861167, 5.033455 60.81859333, 5.033935 60.81841167, 5.03387667 60.81823167, 5.03333333 60.81666667))",635177580176704959
Mongstad,berth,1,"POLYGON ((5.03333333 60.81666667, 5.03166667 60.81833333, 5.03306667 60.81861667, 5.03335833 60.81861167, 5.033455 60.81859333, 5.033935 60.81841167, 5.03387667 60.81823167, 5.03333333 60.81666667))",635177580175772927
Mongstad,berth,1,"POLYGON ((5.03333333 60.81666667, 5.03166667 60.81833333, 5.03306667 60.81861667, 5.03335833 60.81861167, 5.033455 60.81859333, 5.033935 60.81841167, 5.03387667 60.81823167, 5.03333333 60.81666667))",635177580175771839
Mongstad,berth,1,"POLYGON ((5.03333333 60.81666667, 5.03166667 60.81833333, 5.03306667 60.81861667, 5.03335833 60.81861167, 5.033455 60.81859333, 5.033935 60.81841167, 5.03387667 60.81823167, 5.03333333 60.81666667))",635177580176708927
Mongstad,berth,1,"POLYGON ((5.03333333 60.81666667, 5.03166667 60.81833333, 5.03306667 60.81861667, 5.03335833 60.81861167, 5.033455 60.81859333, 5.033935 60.81841167, 5.03387667 60.81823167, 5.03333333 60.81666667))",635177580176716031
Mongstad,berth,1,"POLYGON ((5.03333333 60.81666667, 5.03166667 60.81833333, 5.03306667 60.81861667, 5.03335833 60.81861167, 5.033455 60.81859333, 5.033935 60.81841167, 5.03387667 60.81823167, 5.03333333 60.81666667))",635177580176728959
