imo,typnum,visit_num,start,end,Deadweight,ShiptypeLevel5,type,number,time_difference,port_name
9334777.0,berth3,2,2022-08-02 08:12:28,2022-08-04 22:06:35,690.0,Tug,berth,3,2 days 13:54:07,MONGSTAD
9334777.0,berth3,10,2022-12-19 10:53:43,2022-12-24 11:35:51,690.0,Tug,berth,3,5 days 00:42:08,MONGSTAD
9315173.0,berth4,0,2022-10-07 13:31:02,2022-10-08 17:10:00,163216.0,Crude Oil Tanker,berth,4,1 days 03:38:58,MONGSTAD
9814428.0,berth2,0,2022-06-07 23:16:40,2022-06-08 18:56:58,114396.0,Crude/Oil Products Tanker,berth,2,0 days 19:40:18,MONGSTAD
9737383.0,berth3,0,2022-07-19 00:40:25,2022-07-20 02:16:25,112949.0,Crude Oil Tanker,berth,3,1 days 01:36:00,MONGSTAD
9737383.0,berth3,1,2022-08-24 09:20:12,2022-08-25 10:29:44,112949.0,Crude Oil Tanker,berth,3,1 days 01:09:32,MONGSTAD
9737383.0,berth3,2,2022-10-01 07:09:37,2022-10-02 23:43:27,112949.0,Crude Oil Tanker,berth,3,1 days 16:33:50,MONGSTAD
9737383.0,berth3,3,2022-10-13 00:12:34,2022-10-14 01:42:33,112949.0,Crude Oil Tanker,berth,3,1 days 01:29:59,MONGSTAD
9737383.0,berth3,4,2022-11-28 13:20:24,2022-11-29 10:54:46,112949.0,Crude Oil Tanker,berth,3,0 days 21:34:22,MONGSTAD
9737383.0,berth3,5,2022-12-11 15:07:24,2022-12-12 12:13:17,112949.0,Crude Oil Tanker,berth,3,0 days 21:05:53,MONGSTAD
9776559.0,berth1,0,2022-10-22 23:56:12,2022-10-25 07:55:52,319398.0,Crude Oil Tanker,berth,1,2 days 07:59:40,MONGSTAD
9780251.0,berth1,0,2022-08-18 12:27:15,2022-08-19 08:14:59,109900.0,Crude/Oil Products Tanker,berth,1,0 days 19:47:44,MONGSTAD
9703332.0,berth3,0,2022-11-15 17:20:43,2022-11-16 12:02:30,109900.0,Crude/Oil Products Tanker,berth,3,0 days 18:41:47,MONGSTAD
9726592.0,berth3,0,2022-11-22 02:38:06,2022-11-23 01:39:30,109900.0,Crude/Oil Products Tanker,berth,3,0 days 23:01:24,MONGSTAD
9889942.0,berth3,0,2022-12-22 22:26:47,2022-12-24 01:05:48,156921.0,Crude Oil Tanker,berth,3,1 days 02:39:01,MONGSTAD
9287041.0,berth1,0,2022-06-14 08:14:43,2022-06-15 07:42:39,0.0,Tug,berth,1,0 days 23:27:56,MONGSTAD
9287041.0,berth1,1,2022-07-10 12:00:24,2022-07-15 09:25:50,0.0,Tug,berth,1,4 days 21:25:26,MONGSTAD
9534846.0,berth1,0,2022-08-01 09:38:05,2022-08-03 20:08:06,297085.0,Crude Oil Tanker,berth,1,2 days 10:30:01,MONGSTAD
9422536.0,berth2,0,2022-10-11 13:38:07,2022-10-12 18:08:33,115459.0,Crude Oil Tanker,berth,2,1 days 04:30:26,MONGSTAD
9724075.0,berth2,0,2022-07-03 11:19:12,2022-07-04 12:16:40,113736.0,Crude Oil Tanker,berth,2,1 days 00:57:28,MONGSTAD
9370848.0,berth3,0,2022-08-26 00:41:29,2022-08-27 02:04:05,107593.0,Crude Oil Tanker,berth,3,1 days 01:22:36,MONGSTAD
9370848.0,berth3,1,2022-09-06 08:56:15,2022-09-07 07:18:38,107593.0,Crude Oil Tanker,berth,3,0 days 22:22:23,MONGSTAD
9649225.0,berth4,0,2022-09-19 11:40:44,2022-09-20 07:03:58,111634.0,Shuttle Tanker,berth,4,0 days 19:23:14,MONGSTAD
9735361.0,berth1,0,2022-09-30 10:09:03,2022-10-02 06:01:56,302652.0,Crude Oil Tanker,berth,1,1 days 19:52:53,MONGSTAD
9892444.0,berth3,0,2022-06-19 20:02:26,2022-06-21 00:40:52,112459.0,Crude Oil Tanker,berth,3,1 days 04:38:26,MONGSTAD
9892444.0,berth3,1,2022-08-02 08:07:55,2022-08-03 13:17:04,112459.0,Crude Oil Tanker,berth,3,1 days 05:09:09,MONGSTAD
9892444.0,berth3,2,2022-08-17 11:22:15,2022-08-18 17:36:00,112459.0,Crude Oil Tanker,berth,3,1 days 06:13:45,MONGSTAD
9892444.0,berth3,3,2022-10-11 11:01:33,2022-10-12 13:48:28,112459.0,Crude Oil Tanker,berth,3,1 days 02:46:55,MONGSTAD
9892444.0,berth3,4,2022-11-29 18:16:11,2022-11-30 13:01:32,112459.0,Crude Oil Tanker,berth,3,0 days 18:45:21,MONGSTAD
9892444.0,berth3,5,2022-12-10 13:33:04,2022-12-11 10:41:58,112459.0,Crude Oil Tanker,berth,3,0 days 21:08:54,MONGSTAD
9296389.0,berth1,0,2022-12-02 20:14:25,2022-12-03 22:39:58,149997.0,Crude Oil Tanker,berth,1,1 days 02:25:33,MONGSTAD
9334753.0,berth1,7,2022-09-23 17:29:22,2022-09-26 15:50:29,824.0,Tug,berth,1,2 days 22:21:07,MONGSTAD
9334753.0,berth1,9,2022-10-26 23:42:31,2022-10-31 10:54:42,824.0,Tug,berth,1,4 days 11:12:11,MONGSTAD
9334753.0,berth1,13,2022-12-17 13:32:21,2022-12-18 18:14:27,824.0,Tug,berth,1,1 days 04:42:06,MONGSTAD
9630030.0,berth1,0,2022-07-27 17:37:37,2022-07-28 19:43:02,123166.0,Shuttle Tanker,berth,1,1 days 02:05:25,MONGSTAD
9630030.0,berth1,1,2022-10-19 04:25:09,2022-10-20 09:15:34,123166.0,Shuttle Tanker,berth,1,1 days 04:50:25,MONGSTAD
